web-scraper-order,web-scraper-start-url,judul,link,link-href,tanggal,tanggal-href,gambar,gambar-href
"1721993904-60","https://news.detik.com/indeks","","","","Ini yang Didalami KPK Saat Periksa Menteri Kelautan dan Perikanan Trenggono","https://news.detik.com/berita/d-7458999/ini-yang-didalami-kpk-saat-periksa-menteri-kelautan-dan-perikanan-trenggono","",""
"1721993904-61","https://news.detik.com/indeks","","","","","","Kejagung Tangkap Anggota DPR Ujang Iskandar Terkait Kasus Korupsi","https://news.detik.com/berita/d-7459072/kejagung-tangkap-anggota-dpr-ujang-iskandar-terkait-kasus-korupsi"
"1721993904-62","https://news.detik.com/indeks","","","","","","Baru Mau Jogging, Warga Diminta Keluar Area Monas karena Sudah Jam 4 Sore","https://news.detik.com/berita/d-7459069/baru-mau-jogging-warga-diminta-keluar-area-monas-karena-sudah-jam-4-sore"
"1721993904-63","https://news.detik.com/indeks","","","","","","Titik-titik Kemacetan di Tol Saat Jumat Malam Jam Pulang Kerja","https://news.detik.com/berita/d-7459065/titik-titik-kemacetan-di-tol-saat-jumat-malam-jam-pulang-kerja"
"1721993904-64","https://news.detik.com/indeks","","","","","","Pemukiman Warga di California Membara Dilalap Kebakaran Hutan","https://news.detik.com/foto-news/d-7458508/pemukiman-warga-di-california-membara-dilalap-kebakaran-hutan"
"1721993904-65","https://news.detik.com/indeks","","","","","","PAN Anggap Menarik Pileg-Pilpres Dipisah: Caleg Kredibel Tidak Tenggelam","https://news.detik.com/pemilu/d-7459053/pan-anggap-menarik-pileg-pilpres-dipisah-caleg-kredibel-tidak-tenggelam"
"1721993904-66","https://news.detik.com/indeks","","","","","","Kepala BP2MI Sebut Pengendali Judi Online Inisial T, Ini Reaksi Jokowi","https://news.detik.com/berita/d-7459051/kepala-bp2mi-sebut-pengendali-judi-online-inisial-t-ini-reaksi-jokowi"
"1721993904-67","https://news.detik.com/indeks","","","","","","Israel Peringatkan Prancis Soal Ancaman Iran Saat Olimpiade","https://news.detik.com/internasional/d-7459047/israel-peringatkan-prancis-soal-ancaman-iran-saat-olimpiade"
"1721993904-68","https://news.detik.com/indeks","","","","","","Jembatan Miring yang Bikin Warga Sukabumi Bergelantungan Segera Diperbaiki","https://news.detik.com/berita/d-7459045/jembatan-miring-yang-bikin-warga-sukabumi-bergelantungan-segera-diperbaiki"
"1721993904-69","https://news.detik.com/indeks","","","","","","Ledakan Semalaman Saat Pabrik Kembang Api di Bulgaria Terbakar, 1 Orang Tewas","https://20.detik.com/detikupdate/20240726-240726105/ledakan-semalaman-saat-pabrik-kembang-api-di-bulgaria-terbakar-1-orang-tewas"
"1721993904-70","https://news.detik.com/indeks","","","","","","Warga Harap JPO Dewi Sartika Jaktim Cepat Tuntas: Susah Nyeberang di Sini","https://news.detik.com/berita/d-7459042/warga-harap-jpo-dewi-sartika-jaktim-cepat-tuntas-susah-nyeberang-di-sini"
"1721993904-71","https://news.detik.com/indeks","","","","","","Dunia Hari Ini: Semburan di Yellowstone, Turis Tunggang-langgang Selamatkan Diri","https://news.detik.com/abc-australia/d-7459038/dunia-hari-ini-semburan-di-yellowstone-turis-tunggang-langgang-selamatkan-diri"
"1721993904-72","https://news.detik.com/indeks","","","","","","Warga Minta Kawasan Monas Dibuka Sampai Malam","https://news.detik.com/berita/d-7459036/warga-minta-kawasan-monas-dibuka-sampai-malam"
"1721993904-73","https://news.detik.com/indeks","","","","","","ASN Bogor Diperas Pegawai KPK Gadungan Ditakut-takuti 'Surat Panggilan'","https://news.detik.com/berita/d-7459030/asn-bogor-diperas-pegawai-kpk-gadungan-ditakut-takuti-surat-panggilan"
"1721993904-74","https://news.detik.com/indeks","","","","","","Kisah Kesetaraan di Bangku Gereja","https://news.detik.com/x/detail/intermeso/20240726/Kisah-Kesetaraan-di-Bangku-Gereja/"
"1721993904-75","https://news.detik.com/indeks","","","","","","Sri Lanka Akan Gelar Pemilu di Tengah Krisis Reformasi Ekonomi","https://news.detik.com/dw/d-7459021/sri-lanka-akan-gelar-pemilu-di-tengah-krisis-reformasi-ekonomi"
"1721993904-76","https://news.detik.com/indeks","","","","","","Mendagri Dorong Lulusan IPDN Jadi Pemimpin dan Bawahan yang Baik","https://news.detik.com/berita/d-7459016/mendagri-dorong-lulusan-ipdn-jadi-pemimpin-dan-bawahan-yang-baik"
"1721993904-77","https://news.detik.com/indeks","","","","","","Pemkot Semarang Terima Bantuan Rp 3,1 Triliun untuk Pembangunan SPALD-T","https://news.detik.com/berita/d-7459015/pemkot-semarang-terima-bantuan-rp-3-1-triliun-untuk-pembangunan-spald-t"
"1721993904-78","https://news.detik.com/indeks","","","","","","Twibbon, Spanduk, Umbul-umbul Hari Hepatitis Sedunia 2024 Resmi Kemenkes RI","https://news.detik.com/berita/d-7459013/twibbon-spanduk-umbul-umbul-hari-hepatitis-sedunia-2024-resmi-kemenkes-ri"
"1721993904-79","https://news.detik.com/indeks","","","","","","Sindikat 'Mutilasi Bajaj' Didalangi 2 Sopir Bajaj, Sudah 18 Bulan Mencuri","https://news.detik.com/berita/d-7459010/sindikat-mutilasi-bajaj-didalangi-2-sopir-bajaj-sudah-18-bulan-mencuri"
"1721993904-80","https://news.detik.com/indeks","","","","","","Ini yang Didalami KPK Saat Periksa Menteri Kelautan dan Perikanan Trenggono","https://news.detik.com/berita/d-7458999/ini-yang-didalami-kpk-saat-periksa-menteri-kelautan-dan-perikanan-trenggono"
